0,1,2,3,4,5,6,7,8,9
974,1,1,0,0,2,1,1,0,0
0,1125,3,1,0,1,2,1,2,0
6,0,1008,3,3,0,1,4,7,0
0,0,5,990,0,1,2,4,2,6
3,0,3,1,970,0,1,0,0,4
4,0,0,11,1,867,3,0,3,3
7,2,1,1,4,2,938,1,2,0
1,5,10,2,1,0,0,995,2,12
5,0,3,5,6,6,2,3,939,5
4,3,0,5,6,2,0,5,1,983
