0,1,2,3,4,5,6,7,8,9
979,0,0,0,0,0,0,1,0,0
0,1133,0,2,0,0,0,0,0,0
2,0,1028,0,0,0,0,2,0,0
0,0,1,997,0,8,0,0,3,1
0,1,0,0,976,0,0,0,1,4
0,0,0,3,0,888,1,0,0,0
4,3,0,0,1,1,948,0,1,0
0,3,22,3,0,0,0,995,1,4
1,0,0,3,0,3,0,0,966,1
2,1,0,0,5,4,0,2,3,992
